Metric,Value
design__instance__count__class:antenna_cell,154
design__instance__area__class:antenna_cell,385.37
route__net,18767
route__net__special,2
route__drc_errors__iter:0,81
route__wirelength__iter:0,849492
route__drc_errors__iter:1,2
route__wirelength__iter:1,849477
route__drc_errors__iter:2,3
route__wirelength__iter:2,849471
route__drc_errors__iter:3,0
route__wirelength__iter:3,849468
route__drc_errors__iter:4,0
route__wirelength__iter:4,849466
route__drc_errors__iter:5,1
route__wirelength__iter:5,849391
route__drc_errors,0
route__wirelength,849468
route__vias,151651
route__vias__singlecut,151651
route__vias__multicut,0
route__drc_errors__iter:6,0
route__wirelength__iter:6,849390
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,40
design__critical_disconnected_pin__count,0
route__wirelength__max,1495.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,394
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,394
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,394
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,31
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,10
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.39407753176098365
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.088763332529902
timing__hold__ws__corner:min_tt_025C_1v80,0.3502664923912528
timing__setup__ws__corner:min_tt_025C_1v80,5.6009047873817375
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.350266
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,28.193998
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,394
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
